INSTNM,STABBR,LATITUDE,LONGITUDE,ICLEVEL
Searcy Beauty College,AR,35.239148,-91.735135,3
Shorter College,AR,34.75933,-92.26133100000001,2
Williams Baptist University,AR,36.125676,-90.94027700000001,1
South Arkansas Community College,AR,33.209446,-92.666087,2
Southern Arkansas University Main Campus,AR,33.291618,-93.235922,1
Southern Arkansas University Tech,AR,33.628367,-92.72162900000001,2
Velvatex College of Beauty Culture,AR,34.735685,-92.289597,3
University of Arkansas-Fort Smith,AR,35.38418400000001,-94.373729,1
Academy of Art University,CA,37.787943,-122.400578,1
The Academy of Radio and TV Broadcasting,CA,33.729535,-117.98776200000002,3
Avalon School of Cosmetology-Alameda,CA,37.764203,-122.24356599999999,3
College of Alameda,CA,37.781017,-122.279303,2
Allan Hancock College,CA,34.943715999999995,-120.421144,2
American Academy of Dramatic Arts-Los Angeles,CA,34.095378000000004,-118.343701,2
American Beauty College,CA,34.069367,-117.936959,3
American Career College-Los Angeles,CA,34.079322999999995,-118.29248100000001,2
American Conservatory Theater,CA,37.787343,-122.40475,1
American River College,CA,38.65085,-121.349672,2
Antelope Valley College,CA,34.676207,-118.18616599999999,1
Art Center College of Design,CA,34.169031,-118.185102,1
Associated Technical College-Los Angeles,CA,34.056102,-118.272364,3
Associated Technical College-San Diego,CA,32.715375,-117.15798799999999,3
Azusa Pacific University,CA,34.130047,-117.888375,1
Bakersfield College,CA,35.40911,-118.973753,1
Barstow Community College,CA,34.870284999999996,-117.02341200000001,2
Bellus Academy-Chula Vista,CA,32.614773,-117.08373799999998,2
Bethesda University,CA,33.842295,-117.941323,1
Biola University,CA,33.906203000000005,-118.014374,1
Brownson Technical School,CA,33.819032,-117.905774,3
Bryan University,AZ,33.437779,-111.944197,1
Butte College,CA,39.649782,-121.64483100000001,2
California Institute of Integral Studies,CA,37.774924,-122.416102,1
Cabrillo College,CA,36.989447999999996,-121.924797,2
California Baptist University,CA,33.929321,-117.425619,1
California College of the Arts,CA,37.767485,-122.399451,1
California Institute of Technology,CA,34.137349,-118.125878,1
California Lutheran University,CA,34.224565999999996,-118.878924,1
California Polytechnic State University-San Luis Obispo,CA,35.299513,-120.657311,1
Alliant International University-San Diego,CA,32.897056,-117.094398,1
California State University-Bakersfield,CA,35.350004999999996,-119.10471100000001,1
California State University-Stanislaus,CA,37.52577,-120.852511,1
California State University-San Bernardino,CA,34.182621999999995,-117.323801,1
California State Polytechnic University-Pomona,CA,34.057912,-117.821476,1
California State University-Chico,CA,39.729712,-121.84485900000001,1
California State University-Dominguez Hills,CA,33.864765999999996,-118.255917,1
California State University-Fresno,CA,36.811153999999995,-119.744569,1
California State University-Fullerton,CA,33.881506,-117.885446,1
California State University-East Bay,CA,37.657694,-122.054135,1
California State University-Long Beach,CA,33.782818,-118.11204,1
California State University-Los Angeles,CA,34.066927,-118.16896499999999,1
California State University-Northridge,CA,34.240126000000004,-118.529319,1
California State University-Sacramento,CA,38.559415,-121.423549,1
University of California-Berkeley,CA,37.871918,-122.26046299999999,1
University of California-Davis,CA,38.539667,-121.749567,1
University of California-Irvine,CA,33.648434,-117.841248,1
University of California-Los Angeles,CA,34.068892,-118.443901,1
University of California-Riverside,CA,33.97246,-117.32741000000001,1
University of California-San Diego,CA,32.877749,-117.23586599999999,1
University of California-Santa Barbara,CA,34.416297,-119.846426,1
University of California-Santa Cruz,CA,36.995584,-122.058801,1
Sofia University,CA,37.430325,-122.10866000000001,1
California Beauty School,CA,37.645216999999995,-120.99689,3
California Christian College,CA,36.749365999999995,-119.711123,1
California Hair Design Academy,CA,32.765221000000004,-117.02426100000001,3
California Institute of the Arts,CA,34.39327,-118.566837,1
California State University Maritime Academy,CA,38.069061,-122.231551,1
Canada College,CA,37.44877,-122.265398,2
College of the Canyons,CA,34.403993,-118.568698,2
Career Academy of Beauty,CA,33.781017999999996,-118.031697,3
Casa Loma College-Van Nuys,CA,34.192828999999996,-118.45778100000001,2
CET-San Diego,CA,32.711302,-117.105328,3
CET-San Jose,CA,37.322722999999996,-121.88698000000001,3
CET-El Centro,CA,32.790908,-115.549079,3
CET-Colton,CA,34.077381,-117.35348799999998,3
CET-Watsonville,CA,36.93183300000001,-121.767991,3
CET-Salinas,CA,36.707333,-121.65236000000002,3
Cerritos College,CA,33.886874,-118.09733700000001,2
Cerro Coso Community College,CA,35.567525,-117.66767,2
Chabot College,CA,37.64245800000001,-122.105636,2
Chaffey College,CA,34.147663,-117.57393200000001,2
Chapman University,CA,33.79302,-117.85251799999999,1
