LATITUDE,LONGITUDE,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,UGDS_WOMEN,RET_FT4_POOLED,RET_FT4_POOLED_binr,RET_FT4_POOLED_binq,RET_FT4_POOLED_binrm,CONTROL,STABBR
32.34268400000001,-86.216488,0.0,0.0,0.0,0.0,0.0,0.0,0.1389,0.0,0.0,0.0,0.0,0.0,0.0,0.0741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037000000000000005,0.037000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6111,0.1019,0.0,369.0,0.2764,0.664,0.0244,0.0108,0.0027,0.0027,0.0,0.0,0.019,0.2249,26613.0,17014.0,17014.0,16005.0,8419.0,4830.0,0.1852,0.7263,0.2973,0,1,0,3,AL
32.384181,-86.21641,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,0.0,0.0495,0.0,0.0,0.0,0.0,0.0239,0.0092,0.0128,0.0,0.0147,0.0055,0.0,0.0018,0.0349,0.0,0.0147,0.0,0.0,0.0495,0.16699999999999998,0.0,0.0092,0.0,0.0,0.0,0.0,0.0055,0.011000000000000001,0.5835,0.0,2272.0,0.4146,0.4969,0.0198,0.004,0.0018,0.004,0.0194,0.0242,0.0154,0.2333,31720.0,20970.0,20970.0,11037.0,5089.0,5702.0,0.4787,0.6127,0.5627,0,1,0,2,AL
33.468466,-86.832465,0.0,0.0,0.0,0.0,0.0,0.0,0.0383,0.0,0.0,0.0,0.0164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8962,0.0273,0.0,537.0,0.2924,0.594,0.0279,0.0,0.0019,0.0,0.040999999999999995,0.0,0.0428,0.54,27797.0,13850.0,13850.0,10525.0,4518.0,5360.0,0.4286,0.73,0.3333,0,1,0,2,AL
32.35103400000001,-86.284366,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.0225,0.0,0.0,0.0868,0.0161,0.0,0.0,0.1286,0.0129,0.0161,0.0386,0.0,0.0354,0.0257,0.0,0.0032,0.0,0.0,0.0,0.0,0.0161,0.0032,0.4534,0.0129,1099.0,0.6379,0.2084,0.0573,0.0045,0.0055,0.0027,0.051,0.0009,0.0318,0.2011,34675.0,26400.0,26400.0,11118.0,7073.0,6851.0,0.5619,0.5159,0.6333,0,2,0,2,AL
34.856153000000006,-87.663051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.8136,0.0678,0.0339,0.0,0.0,0.0,0.0508,0.0,0.0339,0.5593,28764.0,11232.0,11232.0,10311.0,10291.0,4812.0,1.0,0.0508,0.5625,0,1,0,2,AL
33.822938,-85.765321,0.0,0.0,0.0,0.0,0.0392,0.0,0.0207,0.0,0.0769,0.0,0.0266,0.0007,0.0362,0.0,0.0251,0.0533,0.0,0.0414,0.0118,0.0,0.0,0.0067,0.0,0.0,0.0052,0.0,0.0429,0.054000000000000006,0.0695,0.0311,0.0,0.0,0.0,0.0,0.0333,0.2544,0.1524,0.0185,6622.0,0.7194,0.1901,0.0103,0.0072,0.0069,0.0009,0.0,0.0198,0.0453,0.1818,20890.0,8166.0,15582.0,6700.0,7528.0,6960.0,0.7206,0.5757,0.7602,0,3,1,1,AL
32.62925300000001,-87.315206,0.1071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0536,0.0,0.0,0.0,0.0,0.0,0.0179,0.0,0.0,0.0893,0.0,0.0,0.0179,0.0,0.0179,0.0,0.0357,0.0,0.0893,0.0357,0.0179,0.0,0.0,0.0,0.0,0.0,0.125,0.375,0.0179,0.0,315.0,0.7175,0.2,0.0286,0.019,0.0063,0.0,0.0063,0.0,0.0222,0.2698,30456.0,17896.0,17896.0,8067.0,11512.0,5932.0,0.4783,0.981,0.6233,0,1,0,2,AL
32.588132,-88.186329,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0965,0.0,0.0386,0.0,0.0,0.0,0.0096,0.0,0.0,0.0579,0.0193,0.0,0.1479,0.0868,0.0,0.0,0.0161,0.0,0.0386,0.0,0.0,0.0096,0.0,0.0225,0.0,0.0,0.0,0.1576,0.2379,0.0161,2106.0,0.4231,0.4425,0.0185,0.0019,0.0028,0.0005,0.0294,0.0489,0.0323,0.1249,19671.0,9204.0,16818.0,8192.0,8295.0,6711.0,0.5667,0.5541,0.657,0,2,0,1,AL
33.482442,-86.908751,0.0,0.0,0.0,0.0,0.0807,0.0,0.0448,0.0,0.0269,0.0,0.0,0.0,0.0314,0.0,0.0179,0.0,0.0,0.1256,0.0179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2287,0.1076,0.0269,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.0135,1647.0,0.0231,0.9599,0.0073,0.0,0.0006,0.0,0.0085,0.0,0.0006,0.0559,22346.0,11794.0,11794.0,5300.0,4397.0,4444.0,0.7077,0.4924,0.5276,0,1,0,2,AL
30.793246999999997,-88.128934,0.0,0.0,0.0,0.0,0.0519,0.0,0.0259,0.0,0.1,0.0,0.0,0.0,0.0111,0.0,0.0148,0.0704,0.0,0.0333,0.0222,0.0,0.0148,0.0741,0.0333,0.0741,0.0,0.0,0.037000000000000005,0.0,0.0,0.0333,0.0,0.0,0.0,0.0,0.0333,0.1407,0.2111,0.0185,1276.0,0.6168,0.1857,0.0212,0.0141,0.0094,0.0298,0.0643,0.0376,0.0212,0.0972,35256.0,22210.0,22210.0,9537.0,6175.0,4938.0,1.0,0.6332,0.698,0,2,0,2,AL
